ID,Mass,RT,Col-root-NL-0V,Col-root-NL-5V,Col-root-NL-10V,Col-root-NL-15V,Col-root-NL-20V,Col-root-NL-25V,Col-root-NL-30V,Col-root-NL-35V,Col-root-NL-40V,Col-root-NL-45V
4349,186.141,15.95,1,1,3288.397932,15335.14152,31249.47606,40325.52832,76084.12238,63709.38441,72051.29462,62367.08933
4350,565.4365,5.78,1,1,1,1,285865.569,381265.9127,220035.671,207774.3437,147024.5012,129699.3256
4351,338.246,14.48,1,1,1,1,1,1,1,5579.485421,1051.833795,1072.896768
4352,333.2663,16.35,83401.42196,62613.83697,45241.49395,46275.83934,48433.3206,23552.34729,38277.07843,15003.25924,21021.78099,7432.283763
4353,330.0965,5.49,17544.74951,21861.23267,43682.74934,53871.28524,80911.41429,117311.5837,103827.5205,66384.88278,33320.28926,16779.87102
4354,313.1145,1.24,74296.59603,85608.04302,39437.61669,46944.94006,29683.73559,10405.5517,14325.77364,11871.9434,21988.37839,18936.56211
4355,315.1001,5.11,37150.14189,35877.9462,43178.74428,60914.14237,83567.24177,107524.2527,101142.5261,98351.5758,91890.04939,69608.14486
4356,150.0688,4.08,1,1,1,35835.69549,46188.85402,55961.94422,52088.84237,46381.47031,35430.39041,40112.91959
4357,888.5406,14.12,96601.28583,98083.73652,116255.4005,94728.67849,43539.54556,9686.705173,1,1,1,1
4358,928.5028,14.31,124566.0358,119917.4381,108675.5335,73300.34438,67838.38783,128376.2592,61164.57989,243369.8737,28826.18169,31854.95304
4359,120.0574,17.8,1,1,1,8060.087413,19419.63896,36478.93444,67911.66133,89449.03449,96855.2386,100180.8173
4360,318.137,8.23,26523.67583,25813.26497,25321.88992,31622.96581,51117.50584,61193.42084,72709.83395,84996.84046,86953.0992,88558.45458
4361,837.5938,5.69,87657.8513,93946.45737,83900.00658,64333.66495,43719.02076,45957.79811,31064.56142,28112.43139,22022.38272,18220.92148
4362,648.4369,15.67,97060.80679,72474.90336,82543.73266,93627.5904,32396.97052,2095.216262,880.3919883,1003.746751,1,6590.180892
4363,1256.2726,4.38,90389.71126,73088.71075,52352.54036,33911.3828,29952.52407,24039.81574,18000.17575,11974.70038,11832.44554,9494.05646
4364,255.0757,1.23,54244.60632,29266.43114,19850.95265,13193.18481,13460.83563,14252.34052,10684.20167,10857.74254,13417.34705,21206.98367
4365,538.129,2.82,80194.97598,79757.41592,85974.15337,87035.29088,80034.93545,75657.00424,46454.81016,33344.79881,19169.9634,17106.29102
4366,382.2757,16.16,1,4496.661572,1,62250.99889,25464.59577,36105.07508,35992.61023,28331.29318,17377.67722,17491.34942
4367,407.3011,16.08,59964.45057,17783.47199,1,5745.512667,1,2545.583127,1,341.8758138,1,1
4368,149.973,21.28,55444.16004,93034.68028,112231.2467,161733.4924,192483.4931,237292.8945,309774.2192,359690.5224,397316.5883,437331.5163
4369,475.299,4.25,58135.42847,56277.02919,35887.82044,8801.58227,1,1,1,1,1,1
4370,164.0473,3.34,90744.7695,48550.39288,39498.169,67479.29706,56943.28986,30132.077,60711.14719,72830.5384,81052.43851,58522.26902
4371,309.0824,3.28,46357.94804,62756.31589,53351.21543,36976.60426,32956.53212,23768.67796,21305.41848,15305.44339,7482.807919,7993.729233
