ID,Mass,RT,Col-root-NL-0V-3,Col-root-NL-10V,Col-root-NL-15V,Col-root-NL-20V,Col-root-NL-20V-2,Col-root-NL-25V,Col-root-NL-30V,Col-root-NL-35V,Col-root-NL-40V,Col-root-NL-45V,Col-root-NL-5V
4422,504.2492,11.99,42564.54049,38985.65225,24168.62796,9314.092392,12504.48495,9966.729589,3412.009384,1370.552651,2397.424703,1726.299369,37151.40331
4423,522.0748,4.75,1263.521774,1,24510.30475,35672.14654,31301.20859,40787.97037,64973.45965,45898.06856,45843.50063,55420.5811,1
4424,412.0974,4.24,1,66504.02101,78751.69187,58764.09028,58154.27292,53076.1764,37903.82044,21940.78675,8630.781598,6630.558434,60007.39239
4425,648.1653,5.45,52891.00427,1636.037637,1,1,1,1,1,1,725.2921775,1,8794.497814
4426,681.0768,6.32,66142.90847,4205.738984,1,1,1,1,1,1,1,1,18323.79092
4427,523.0567,5.49,69162.45468,67208.52088,55842.03783,34095.42923,31194.98234,26540.13992,24570.01975,21354.42291,16411.03149,14477.68874,62747.93907
4428,320.1165,9.07,1,5788.382701,36911.23369,88877.65643,85324.20895,89345.72555,48942.30874,19199.59593,3396.245991,737.8177796,1
4429,776.4746,5.29,48924.75712,53879.94325,45257.79671,31541.91296,30447.90619,14483.14088,3309.642306,935.8254559,1,1,49274.56531
4430,316.08,5.99,48339.62262,51175.74122,31769.7526,18634.35432,23039.26009,8602.425626,2036.518012,978.789964,1,1,48144.20854
4431,700.6123,16.97,1,15463.73464,41251.30281,103166.2879,102955.2532,93934.96275,62909.078,49567.33203,49691.99319,36301.64798,491.1991954
4432,150.0354,1.24,16153.23929,52015.48939,61162.6551,59834.93025,60546.85736,51752.73235,47555.73684,39913.62334,37978.78197,33741.00567,24757.76388
4433,475.0959,3.1,45901.56858,40096.86736,16374.47387,5959.192972,2952.058543,11765.67337,4354.035093,1041.114121,1,1,37466.58998
4434,585.8937,0.79,97512.17531,43187.14878,33814.17961,26803.37444,29011.26721,20873.57303,17281.02677,11579.1897,8382.97196,6525.751612,61400.07782
4435,144.0426,17.92,1,1,1,9784.925016,7197.347303,19090.71579,37646.06608,47771.82774,48009.13762,47167.03224,1
4436,500.0825,4.48,63633.19753,1,1,829.6590551,7100.878993,1,1,1,1,1,72634.68007
4437,373.7431,21.36,45149.17671,83759.64257,86607.1338,76612.43108,62076.07847,65078.94576,48811.9915,41301.92223,31956.64,29988.74268,66357.45598
4438,273.0851,1.47,42777.01686,7314.387183,1,1,1,1,1,1,1,1,19336.28105
4439,508.2443,14.22,50627.82633,39552.54832,47850.10212,30929.67992,40301.79952,18935.87619,15049.14803,9056.109917,7910.529327,5762.782992,44627.96715
4440,331.0912,1.45,33353.66147,1670.825269,3655.384573,1076.047496,1,1,1,1,1,1,13195.15422
4441,565.3511,17.76,97268.91674,102340.7359,104649.1492,95223.68111,90927.33706,80027.51958,65085.07348,39941.59649,24640.754,3472.140505,93716.57869
4442,337.1559,5.97,59109.72212,28369.07902,5913.893052,1,1,1,1,1,1,1,70070.05857
4443,1018.1674,5.49,63319.70974,34157.64966,6856.625545,1,1,1,1,1,2116.358482,1,55234.45457
4444,196.0735,4.84,7163.188761,53290.98569,60632.47749,1,30919.60529,1,1,1,1,1,27608.04402
4445,171.0322,9.6,45196.81491,71437.08546,67282.65296,57940.39836,60190.15294,33712.20582,26824.05786,19110.79939,11298.65519,5168.313366,65233.35083
4446,928.3409,12.69,66679.78971,68539.03509,79614.40235,83541.59126,76318.59978,62938.08578,50756.96596,41354.45723,36295.62518,27355.80884,66455.74831
4447,533.1009,6.24,47991.62544,19935.11894,8492.372989,1,4515.17364,1,1,1,1,1,41544.57833
4448,462.2378,12.92,12055.27468,1,1,1,1,1,1,1,1,1,1
4449,354.0807,1.4,64032.67821,1,1,1,1,1,1,1,1,1,6368.178629
4450,656.1682,4.85,44952.88178,1203.956077,2492.221885,1,1,1,1,456.9547866,1,1,36858.72281
4451,154.027,3.35,27310.95405,26601.92254,17713.3439,28792.30798,17851.31605,1,13396.69662,17421.56237,1,14549.70473,32811.62769
4452,384.1965,16.94,44390.20964,49862.36175,46044.04687,31906.91952,35678.03076,9549.891404,10883.95499,5994.884275,8168.345584,1,52455.76517
4453,655.2323,11.84,1,8380.83472,45145.03126,29690.79352,22328.85888,7265.894378,9682.929424,7001.951207,2152.349143,1050.754776,15678.89218
4454,255.8634,1.13,9038.961603,11798.55325,6377.296507,1,14003.6053,1,32703.74644,21536.77576,25019.5412,42288.38812,10608.28194
4455,240.209,12.96,45487.76069,312574.381,547407.9782,582428.7042,1,1,1,1,1,1,90351.33249
4456,466.1364,4.57,1,1,6116.793807,15820.40564,15462.24345,41558.31433,63237.42187,70759.06635,64526.96148,41994.2026,1540.568336
4457,768.2589,5.76,53352.02361,39401.39403,29222.27659,16800.0334,8793.374048,1,2350.505198,383.3470712,1,2052.836537,46739.74962
4458,844.127,3.06,63496.40025,33158.30573,15709.33088,6207.027279,5458.684939,10937.08827,3022.316364,2636.97109,1,1,43543.97964
4459,601.2142,11.56,59192.14753,24225.51665,13491.16141,940.3049267,23705.54353,9575.525141,7955.21366,6017.697184,735.0727758,17171.13362,79913.11525
