ID,Mass,RT,72e123-1,72e123-2,72e123-3,72e123-4,72e123-5,Col-1,Col-2,Col-3,Col-4,Col-5
4694,615.2611,5.8,67117.40743,49412.45348,39263.96341,75014.79407,61932.33602,33173.91924,59683.33827,65915.02999,47670.87312,61685.8474
4695,272.0325,5.36,1,1,1,1,1,1,1,1,1,1
4696,315.1015,9.78,1,11655.43814,3121.252427,53905.31335,41413.46039,7351.43464,1,23146.77021,10393.28556,16398.79367
4697,484.0274,3.06,1,1,1,1,1,1,1,1,1,1
4698,639.1683,5.68,37147.44703,37194.5292,25117.15799,37460.34626,22071.03377,39512.92997,44239.93486,39055.83748,36327.09134,48375.68702
4699,689.2185,4.56,56175.99734,54409.85618,53975.42889,36547.58205,43550.88885,59876.65383,68472.58062,56985.39859,68909.27849,75612.89926
4700,857.1885,3.08,29342.84678,17000.8962,27789.51649,29360.95737,31869.31747,31414.37859,27099.09303,28250.24955,32012.6146,29280.20688
4701,153.0191,3.59,12665.77094,16813.716,15216.77401,10603.99667,15795.38811,18019.97211,14035.37409,20577.56672,22987.88491,16075.69981
4702,646.1732,2.13,48485.23286,56311.63465,49613.55213,37971.41153,57387.75464,52370.78401,85301.44736,54952.71525,59593.91042,72874.851
4703,490.1123,3.43,1,1,1,548.4655418,1,1,1648.505782,1,1,5689.925333
4704,538.2154,7.67,17161.55196,16206.54866,22353.95944,13712.52114,13724.48099,8032.672611,11169.86257,30316.51235,19246.35651,19545.40543
4705,300.1139,10.65,6807.110081,18169.96643,7771.43642,72585.37764,64601.24222,9042.575523,7884.931532,18896.66123,9415.125253,27208.43381
4706,300.04,12.02,5674.466372,5134.530921,6553.24689,7230.271667,5226.643751,5304.760831,5422.901013,7951.589161,8847.392403,9864.573922
4707,1040.5733,4.91,27333.82546,15625.9458,23705.99203,22648.2252,20084.60357,77770.16865,38852.24333,11604.59053,18539.25239,15742.49918
4708,388.1514,5.42,10084.83015,9878.265568,8589.746411,6201.42133,8274.684662,20707.55104,8819.435045,21228.23424,21450.46927,24394.3837
4709,473.9102,0.79,48794.06199,52474.65347,47176.60546,58162.29879,57951.14437,48726.71201,53312.90463,50877.30538,51311.87621,54717.7023
4710,520.1943,4.62,1,1,1,1,1,67819.81506,68852.10938,69534.51852,66964.00793,75826.63909
4711,230.0581,6.76,1,1,1,1,1,1,1,1,1,1
4712,714.1794,5.44,48242.91711,44539.88215,50948.4209,58987.72016,54893.57128,34465.34564,54501.2434,43412.6458,44813.21244,52720.38214
4713,183.0539,1.43,49004.86315,46130.89911,49059.99054,44213.55911,50224.00242,36876.0128,46263.30738,42927.6546,36411.48207,52581.26768
4714,918.2604,3.85,20158.77061,18602.47387,14877.85691,16871.3669,22754.43007,22392.26806,31603.92026,26928.83119,21711.72033,43465.15459
4715,377.0959,2.84,5791.949301,1,1,1,1,27029.091,24980.17818,33273.44641,47668.38103,39304.56991
4716,252.1726,17.9,1,1,1,1,1,1,1,1,1,1
4717,255.9244,6.06,19121.20529,9534.664398,13008.62012,5004.097041,11934.28966,13959.93982,15888.94352,10917.27408,19882.35269,13317.29731
4718,449.232,3.72,1,1,1,1,1,1,1,1,1,1
4719,888.2141,3.71,61795.97299,34612.24324,71612.95003,26887.10893,30508.52119,85487.84232,85750.54594,64266.06609,70807.19705,63432.55459
4720,410.1793,3.69,40668.35524,40967.0705,24039.75474,42336.58991,61750.3576,38539.40831,45697.47353,37982.07751,73714.85544,75616.85221
4721,407.0581,6.67,59617.48407,34590.06481,32904.74646,51020.96678,31366.99945,49860.54197,36966.05504,42315.94671,42843.33595,76442.01057
4722,835.2723,11.65,64683.71542,45749.9553,48925.61328,88057.29639,95436.9455,80280.47566,86402.35959,55923.02428,53112.05096,69412.16604
4723,730.2468,6.71,16099.82794,11233.98458,11032.58537,15389.25116,12108.98766,14837.05061,13944.02535,24153.99752,26794.81004,12383.28416
4724,771.4483,5.54,79737.40732,25521.73844,38466.50542,97912.29361,78399.76406,63395.49369,69092.19542,49616.6598,50954.30726,93560.11458
4725,793.5591,5.28,22003.18038,11520.22132,22221.8551,19524.48186,19330.33148,66356.65576,20739.23976,12062.96029,12324.78615,15986.78492
4726,633.8849,0.79,40466.36318,38843.12684,38233.18219,49875.65526,46171.39271,39744.50035,42188.8444,38272.69517,37268.33811,40416.44479
4727,797.2206,10.86,6734.930407,64128.78194,33947.02659,42186.70553,33691.22636,15700.78204,1,38240.41984,32927.47489,27899.33212
4728,517.0653,3.16,1,1,1,1,908.6175141,1,1,1,53971.05273,3553.581614
4729,880.2445,2.82,58211.96143,63290.65585,45854.20231,55836.98484,73712.48598,68289.93771,64944.82883,66639.00675,68272.2878,71043.35448
4730,726.1361,6.03,42212.57463,52487.79651,42547.59682,47641.34191,50488.00431,39724.80972,47573.27206,36449.3971,41925.43574,51449.29026
4731,164.0687,7.17,4839.067469,3673.193573,5372.364085,3912.352539,2806.62738,4883.045584,6993.197546,4801.665188,5813.557663,5160.733501
4732,264.1573,5.5,1622.715378,1,1395.765529,1,1332.18107,1,1,1,1,1
4733,674.2048,4.06,1,1,1,1,9420.33234,53813.40928,71043.71878,47481.51112,76085.72495,49089.24269
4734,571.3692,3.8,57075.52962,11675.56883,22231.09991,64078.27768,59115.8613,38210.75872,49849.14976,30321.68573,31909.87943,54841.94798
4735,936.4559,17.91,81506.7459,65893.51099,54213.21287,83814.7526,95035.50359,30845.15832,66237.6653,59409.48614,52942.53399,96346.14636
4736,1942.4072,4,70165.5542,73244.78326,89905.86355,76589.28994,84375.75267,72309.53437,70488.17331,72113.0376,69615.51828,75431.84416
4737,635.1431,5.67,44582.80486,56937.30028,55020.82374,52813.09782,59699.74867,59336.26204,63481.39599,58526.71477,61990.02582,64680.45576
4738,230.0225,4.7,18177.03579,17280.1737,15174.52823,13161.05826,5297.754439,16918.58109,22847.23121,20812.61725,12248.00495,24542.96062
4739,228.0422,4.33,1,1,1,1,1,431.6302877,1,1,1,1
4740,197.0457,11.81,1,1,1,1,1,1,1,1,1,1
4741,670.248,3.01,1,1,1,1,1,35441.64793,30529.61862,37789.908,32869.5437,42033.70966
4742,342.1081,3.03,5193.46398,4104.521528,2802.600753,4055.495789,5333.490816,9249.893088,1462.503054,2024.124176,4009.791994,9171.610736
4743,157.0407,8.19,1,1,1,1529.125421,858.3464958,1,1,1,1,1
4744,180.0423,4.22,25748.89924,28269.78004,18271.218,34088.9546,30626.43875,33799.99079,39366.78449,25570.48907,27891.20621,38233.29231
4745,556.0713,3.82,52944.76529,58088.18451,52453.29801,40438.42634,57303.68088,55927.45621,63161.58221,57182.14212,52577.17076,64072.69691
4746,745.2451,3.38,1,1,1,1,5050.427808,60183.10216,56094.68674,51421.35744,54939.88626,65306.98719
4747,329.1294,8.41,53996.6804,57455.1571,50725.56301,61671.43624,49078.59763,52423.59946,54611.09934,56742.01599,49034.31248,57070.82404
4748,225.0772,12.36,1,1,1,1,1,1,1,1,1,1
4749,682.1286,4.38,12540.07435,107260.4138,71509.43496,118003.5507,107287.171,22604.71119,1,54633.57501,33511.13466,42934.51151
4750,163.0303,4.6,11707.6523,11122.39759,10003.5893,5734.655101,6781.480236,13047.64599,16865.69057,15002.26412,15442.72717,19176.93982
4751,392.1299,2.77,29789.96491,38743.15741,41431.82527,35289.93891,38939.29603,42340.10162,33950.67353,49971.7519,31211.82105,31774.42595
4752,639.1725,6.03,53718.35676,80575.60915,88718.33662,75751.85304,91877.40398,77557.33998,80430.44323,83441.34805,80628.39675,101732.2434
4753,180.0636,16.38,549.5406631,670.7787952,1466.212216,1149.374254,419.7709183,1235.022441,735.2317784,1,596.0124728,1845.143794
4754,182.0579,2.97,1,1,1,1,1,3319.826081,1,1,1,1
4755,1036.0982,4.45,139520.9269,92653.00826,97286.32356,79492.78186,96649.66301,113022.0978,153699.1414,113684.8979,118882.8868,56031.54187
4756,390.1152,3.29,7829.467743,9664.459359,1,1,7289.11706,32061.69549,17278.50793,21769.33387,15435.18597,50567.47406
4757,196.0406,1.24,13392.37347,19021.94635,17529.08159,16344.24464,20539.34103,18301.2495,29321.88861,18046.958,19789.81591,25584.31796
4758,218.0698,9.61,37803.32544,72007.82144,53670.0897,51050.86262,50341.58723,41421.02962,37728.15852,51561.33844,47894.27195,63266.82496
4759,616.1409,4.28,1,1,1,1,1,1,18209.51271,1,1,1
4760,603.0614,6.49,77543.20761,75699.36153,72140.44427,75893.85455,62253.64609,66570.66644,52779.29029,61103.9738,44024.45712,51363.66339
4761,385.1004,4.19,60225.78146,62814.33405,59695.71324,50039.83211,62701.13938,57029.53753,57814.53462,63714.29004,58199.4448,56206.47746
4762,323.9118,5.5,212.8531478,3662.21446,3161.406929,3718.197227,5326.831024,1903.728895,2351.862979,674.0130516,1,5472.422637
4763,659.1896,21.25,58283.25595,47321.55051,57406.64762,70183.96563,60437.7365,45061.0933,55858.22339,48316.58853,47394.93884,43146.13457
4764,542.0478,5.89,66258.09108,58302.27815,44517.90806,76623.1348,68033.45332,55130.49431,51569.61411,65727.89142,54174.13066,59183.47396
4765,285.0853,1.46,51743.6045,45917.71787,70237.83274,25693.38651,30620.44667,50698.13947,49821.91991,35368.25192,36369.70147,34226.97006
4766,481.3072,7.67,54423.64115,33281.7145,53961.31389,27989.85045,35883.8606,55688.6365,53863.53377,35481.52502,53424.24525,32721.97338
4767,630.0134,3.75,64679.26079,40391.88471,57739.55586,44696.20241,24256.71781,52922.90925,58144.7051,51315.2107,53902.78361,53905.71709
4768,273.0966,1.24,32218.89787,16991.1913,29903.46928,8900.747287,17738.61212,26766.11085,44525.93704,19137.68484,26267.94952,28923.16871
4769,208.1101,9.38,51984.42682,39010.85696,39343.76155,34617.40703,32061.20524,39548.50238,69316.03378,31426.27579,50663.78408,37843.76984
4770,942.4244,12.71,53528.13038,91516.83384,80651.79548,61396.11073,57423.75261,90450.55427,49078.05713,104058.6574,94698.31189,56670.75658
4771,727.1365,6.83,1,1,1,1,1,1,1,1306.354585,1,1
4772,172.0138,14.24,1,1,1,1,1,1,1,1,1,1
4773,824.2134,5.72,58620.67443,66817.67425,93846.04134,49780.79237,74799.93904,22493.38967,22091.89461,30312.93,20275.84905,39515.69315
4774,687.0349,6.33,5632.576674,1,7263.788035,35720.04728,14338.58129,13004.42475,8058.077645,11595.38505,7627.299027,15078.49408
4775,687.163,4.52,61401.13459,1,1,1,1,1,47622.21323,1,1,1
4776,670.1482,4.95,36887.57806,28494.16295,28817.2501,30449.7956,44152.44376,65864.74623,58282.23668,74526.48655,71888.51054,60000.06763
4777,746.1288,3.44,44745.9866,41443.97725,45467.4908,41202.97089,42707.42378,35772.76094,41639.69693,40317.47185,29108.03692,43509.08145
4778,309.9868,3.06,1,543.2934756,1,2638.351054,1,1,1,1,5796.827808,1
4779,240.1365,10.87,27081.78641,28727.01771,29313.40345,29918.75658,28165.16234,69652.04525,29181.1172,20148.76478,23665.61934,24692.85844
4780,610.2248,14.51,83734.5414,1,1,8916.128363,10835.01993,1,66527.0239,1,1,1
4781,109.998,3.81,1,1,1,1,1,1,1,1,883.8826766,1
4782,162.032,3.17,1,1,1,1,1,11278.49456,9463.077495,9319.835737,4310.172772,13105.12178
4783,582.326,12.35,80666.30331,29562.90854,10605.35662,49226.25885,69093.34144,55050.6929,58683.40375,28502.98856,26166.57042,50979.71594
4784,236.1025,6.8,3076.513547,1,1,1,1,1,1,1,1,1
4785,981.5228,18.9,73746.42267,54152.77361,55769.14782,72471.26598,100977.8743,37189.77879,74222.17699,52387.63256,61543.16836,88227.05048
4786,249.9075,6.33,3171.717824,2008.870753,3897.54558,2910.302379,5734.939463,1,4253.269357,1,2072.946973,3169.996279
4787,606.1611,4.79,151188.7802,1,182245.6666,1,1,1,12392.92977,226850.1335,1,1
4788,136.0378,0.98,59195.47273,90335.40137,50122.57209,92990.93977,89390.41618,95575.14464,90748.03597,79529.05171,101290.3106,108653.259
4789,942.7115,5.79,55459.93327,49857.03539,49574.18287,55202.5601,33536.77355,96632.38143,56552.48831,22095.2428,25517.60634,42528.942
4790,500.0538,4.39,12207.84839,1,9813.19062,24817.77027,1,15422.7099,14735.98003,1,13399.71296,1
